schema_version,reference_id,style_id,target_char,image_path,source_type,source_url,source_license,source_work_id,source_version,bbox_left,bbox_top,bbox_right,bbox_bottom,author_id,script_style,is_synthetic,review_status,reviewer,review_date,notes
1,ouyang_xun_regular_calli_tongji_beta:4543:139cac6d263f,ouyang_xun_regular_calli_tongji_beta,䕃,images/calli_tongji_beta/ouyang_xun_regular_calli_tongji_beta/䕃_139cac6d263f.png,official_open_dataset,https://www.modelscope.cn/datasets/CalliTongji/Calli-Tongji_A_Dataset_of_Historical_Calligraphy_Styles,CC-BY-NC-4.0,calli_tongji_beta,sha256:bae995df68a3469fe486939dd42b209145ab56d10f580990380e25dcf9e2fbe9,0,0,256,256,ouyang_xun,kaishu,false,approved,刘小凡,2026-07-27,Imported from 欧阳询-楷; source member: Calli-Tongji/欧阳询-楷/䕃.png
1,ouyang_xun_regular_calli_tongji_beta:4e07:0bda55e55943,ouyang_xun_regular_calli_tongji_beta,万,images/calli_tongji_beta/ouyang_xun_regular_calli_tongji_beta/万_0bda55e55943.png,official_open_dataset,https://www.modelscope.cn/datasets/CalliTongji/Calli-Tongji_A_Dataset_of_Historical_Calligraphy_Styles,CC-BY-NC-4.0,calli_tongji_beta,sha256:bae995df68a3469fe486939dd42b209145ab56d10f580990380e25dcf9e2fbe9,0,0,256,256,ouyang_xun,kaishu,false,approved,刘小凡,2026-07-27,Imported from 欧阳询-楷; source member: Calli-Tongji/欧阳询-楷/万.png
1,ouyang_xun_regular_calli_tongji_beta:4e0a:b93db9b0f725,ouyang_xun_regular_calli_tongji_beta,上,images/calli_tongji_beta/ouyang_xun_regular_calli_tongji_beta/上_b93db9b0f725.png,official_open_dataset,https://www.modelscope.cn/datasets/CalliTongji/Calli-Tongji_A_Dataset_of_Historical_Calligraphy_Styles,CC-BY-NC-4.0,calli_tongji_beta,sha256:bae995df68a3469fe486939dd42b209145ab56d10f580990380e25dcf9e2fbe9,0,0,256,256,ouyang_xun,kaishu,false,approved,刘小凡,2026-07-27,Imported from 欧阳询-楷; source member: Calli-Tongji/欧阳询-楷/上.png
1,ouyang_xun_regular_calli_tongji_beta:4e0d:c9cfcf167902,ouyang_xun_regular_calli_tongji_beta,不,images/calli_tongji_beta/ouyang_xun_regular_calli_tongji_beta/不_c9cfcf167902.png,official_open_dataset,https://www.modelscope.cn/datasets/CalliTongji/Calli-Tongji_A_Dataset_of_Historical_Calligraphy_Styles,CC-BY-NC-4.0,calli_tongji_beta,sha256:bae995df68a3469fe486939dd42b209145ab56d10f580990380e25dcf9e2fbe9,0,0,256,256,ouyang_xun,kaishu,false,approved,刘小凡,2026-07-27,Imported from 欧阳询-楷; source member: Calli-Tongji/欧阳询-楷/不.png
1,ouyang_xun_regular_calli_tongji_beta:4e1d:3586d6be84bb,ouyang_xun_regular_calli_tongji_beta,丝,images/calli_tongji_beta/ouyang_xun_regular_calli_tongji_beta/丝_3586d6be84bb.png,official_open_dataset,https://www.modelscope.cn/datasets/CalliTongji/Calli-Tongji_A_Dataset_of_Historical_Calligraphy_Styles,CC-BY-NC-4.0,calli_tongji_beta,sha256:bae995df68a3469fe486939dd42b209145ab56d10f580990380e25dcf9e2fbe9,0,0,256,256,ouyang_xun,kaishu,false,approved,刘小凡,2026-07-27,Imported from 欧阳询-楷; source member: Calli-Tongji/欧阳询-楷/丝.png
1,ouyang_xun_regular_calli_tongji_beta:4e43:0af0e41c790f,ouyang_xun_regular_calli_tongji_beta,乃,images/calli_tongji_beta/ouyang_xun_regular_calli_tongji_beta/乃_0af0e41c790f.png,official_open_dataset,https://www.modelscope.cn/datasets/CalliTongji/Calli-Tongji_A_Dataset_of_Historical_Calligraphy_Styles,CC-BY-NC-4.0,calli_tongji_beta,sha256:bae995df68a3469fe486939dd42b209145ab56d10f580990380e25dcf9e2fbe9,0,0,256,256,ouyang_xun,kaishu,false,approved,刘小凡,2026-07-27,Imported from 欧阳询-楷; source member: Calli-Tongji/欧阳询-楷/乃.png
1,ouyang_xun_regular_calli_tongji_beta:4e54:e3eaa0f99bf3,ouyang_xun_regular_calli_tongji_beta,乔,images/calli_tongji_beta/ouyang_xun_regular_calli_tongji_beta/乔_e3eaa0f99bf3.png,official_open_dataset,https://www.modelscope.cn/datasets/CalliTongji/Calli-Tongji_A_Dataset_of_Historical_Calligraphy_Styles,CC-BY-NC-4.0,calli_tongji_beta,sha256:bae995df68a3469fe486939dd42b209145ab56d10f580990380e25dcf9e2fbe9,0,0,256,256,ouyang_xun,kaishu,false,approved,刘小凡,2026-07-27,Imported from 欧阳询-楷; source member: Calli-Tongji/欧阳询-楷/乔.png
1,ouyang_xun_regular_calli_tongji_beta:4e58:68481e98b1f8,ouyang_xun_regular_calli_tongji_beta,乘,images/calli_tongji_beta/ouyang_xun_regular_calli_tongji_beta/乘_68481e98b1f8.png,official_open_dataset,https://www.modelscope.cn/datasets/CalliTongji/Calli-Tongji_A_Dataset_of_Historical_Calligraphy_Styles,CC-BY-NC-4.0,calli_tongji_beta,sha256:bae995df68a3469fe486939dd42b209145ab56d10f580990380e25dcf9e2fbe9,0,0,256,256,ouyang_xun,kaishu,false,approved,刘小凡,2026-07-27,Imported from 欧阳询-楷; source member: Calli-Tongji/欧阳询-楷/乘.png
1,ouyang_xun_regular_calli_tongji_beta:4e5d:08223de72349,ouyang_xun_regular_calli_tongji_beta,九,images/calli_tongji_beta/ouyang_xun_regular_calli_tongji_beta/九_08223de72349.png,official_open_dataset,https://www.modelscope.cn/datasets/CalliTongji/Calli-Tongji_A_Dataset_of_Historical_Calligraphy_Styles,CC-BY-NC-4.0,calli_tongji_beta,sha256:bae995df68a3469fe486939dd42b209145ab56d10f580990380e25dcf9e2fbe9,0,0,256,256,ouyang_xun,kaishu,false,approved,刘小凡,2026-07-27,Imported from 欧阳询-楷; source member: Calli-Tongji/欧阳询-楷/九.png
1,ouyang_xun_regular_calli_tongji_beta:4e71:31114ee745d8,ouyang_xun_regular_calli_tongji_beta,乱,images/calli_tongji_beta/ouyang_xun_regular_calli_tongji_beta/乱_31114ee745d8.png,official_open_dataset,https://www.modelscope.cn/datasets/CalliTongji/Calli-Tongji_A_Dataset_of_Historical_Calligraphy_Styles,CC-BY-NC-4.0,calli_tongji_beta,sha256:bae995df68a3469fe486939dd42b209145ab56d10f580990380e25dcf9e2fbe9,0,0,256,256,ouyang_xun,kaishu,false,approved,刘小凡,2026-07-27,Imported from 欧阳询-楷; source member: Calli-Tongji/欧阳询-楷/乱.png
1,ouyang_xun_regular_calli_tongji_beta:4e89:b1f12547f489,ouyang_xun_regular_calli_tongji_beta,争,images/calli_tongji_beta/ouyang_xun_regular_calli_tongji_beta/争_b1f12547f489.png,official_open_dataset,https://www.modelscope.cn/datasets/CalliTongji/Calli-Tongji_A_Dataset_of_Historical_Calligraphy_Styles,CC-BY-NC-4.0,calli_tongji_beta,sha256:bae995df68a3469fe486939dd42b209145ab56d10f580990380e25dcf9e2fbe9,0,0,256,256,ouyang_xun,kaishu,false,approved,刘小凡,2026-07-27,Imported from 欧阳询-楷; source member: Calli-Tongji/欧阳询-楷/争.png
