schema_version,qc_version,sample_id,char_id,sample_index,image_relative_path,stacked_mask_relative_path,image_pixel_sha256,mask_content_sha256,binary_masks,image_gt_ink_iou,duplicate_group_id,duplicate_group_size,canonical_sample_id,is_duplicate_canonical,hard_exclusion_reasons,decision,review_status,reviewer,review_date
1,dataset_qc_v1,0/14,0,14,0/14/0.jpg,0/14/0.npy,32b5892a4714602fa9faaf639cdf3fbc4f43feafb1c487b7bc7911f6cba66661,4a190525bd5fa9ebfe06afac5162bf619795e907a7df72fd9b30052a8d79edc2,True,0.9786560891533267,DUP-4b764e1a690c,2,0/13,False,EXACT_DUPLICATE_NONCANONICAL,EXCLUDE,AUTO_HARD_EXCLUSION_PENDING_HUMAN_CONFIRMATION,,
1,dataset_qc_v1,1/14,1,14,1/14/0.jpg,1/14/0.npy,16bc385050dc54c9edf518f5f45bb1f341f94b880ebf3a21693f8ce31d38736a,0a6d1eaa661a7fbf8d23a87ea7294d933b94e98cd7e09f7d22fa44e0edb84771,True,0.9755390679341526,DUP-dc5fb2333568,2,1/13,False,EXACT_DUPLICATE_NONCANONICAL,EXCLUDE,AUTO_HARD_EXCLUSION_PENDING_HUMAN_CONFIRMATION,,
1,dataset_qc_v1,10/14,10,14,10/14/0.jpg,10/14/0.npy,bcb304843e0f25f226badb12f3480ee598c74d668e2a948d93ab2c590fbdc05a,83f4fea688202c90f270cba3c8c3643a1d5658737e268ed7121f46a7617f7cf8,True,0.9826815188226685,DUP-0186299d2dd9,2,10/13,False,EXACT_DUPLICATE_NONCANONICAL,EXCLUDE,AUTO_HARD_EXCLUSION_PENDING_HUMAN_CONFIRMATION,,
1,dataset_qc_v1,11/14,11,14,11/14/0.jpg,11/14/0.npy,e14e4672281adff630273ffa661f4b9d780bf46cf685634db485f869ca4364a6,d27bc199f2ab9a8635e086daa23165cdd66de4957efa7d9109c9a39f7f4cfcda,True,0.976348372752712,DUP-02c9d548ecef,2,11/13,False,EXACT_DUPLICATE_NONCANONICAL,EXCLUDE,AUTO_HARD_EXCLUSION_PENDING_HUMAN_CONFIRMATION,,
1,dataset_qc_v1,12/14,12,14,12/14/0.jpg,12/14/0.npy,c8232245a3468c1b2143b7129517f0dd01557cdf1844d3f7876d8f761c0a0f3e,69fc80e6e81e394c5f37732cdd47d3df1c1e7dba13e7179a7a293dc358d82a1a,True,0.9748569707919301,DUP-2a12b06a78a0,2,12/13,False,EXACT_DUPLICATE_NONCANONICAL,EXCLUDE,AUTO_HARD_EXCLUSION_PENDING_HUMAN_CONFIRMATION,,
1,dataset_qc_v1,13/14,13,14,13/14/0.jpg,13/14/0.npy,49785065a32a609f3ef4f5237c9805e50090f9a360e22cb9e22627dbfefccca3,c7a1c4919b9d83531c48688403a5881d40821c45fd1c0aca567de6130f5cda7c,True,0.9584070796460177,DUP-8be4fdba1997,2,13/13,False,EXACT_DUPLICATE_NONCANONICAL,EXCLUDE,AUTO_HARD_EXCLUSION_PENDING_HUMAN_CONFIRMATION,,
1,dataset_qc_v1,14/14,14,14,14/14/0.jpg,14/14/0.npy,ce4268263df1094bed1e6b7bcca58057bbddc501436e765f93e3e7d4be6415a5,0ab8ad83a6dcf96b45108d0b766a910a07c6efec38a3ec50be047716bffa544e,True,0.9771346338343461,DUP-cdb116935d01,2,14/13,False,EXACT_DUPLICATE_NONCANONICAL,EXCLUDE,AUTO_HARD_EXCLUSION_PENDING_HUMAN_CONFIRMATION,,
1,dataset_qc_v1,15/14,15,14,15/14/0.jpg,15/14/0.npy,fb40c18151664edbc671ebae3b7d2afa0b7ac738a6c03d1692563200b9db8446,d2e2c87206e8bd7715d9b3cc350b50336e258912b906747f12ad062d13fe3938,True,0.9654529235260725,DUP-9bc17910cfbc,2,15/13,False,EXACT_DUPLICATE_NONCANONICAL,EXCLUDE,AUTO_HARD_EXCLUSION_PENDING_HUMAN_CONFIRMATION,,
1,dataset_qc_v1,16/14,16,14,16/14/0.jpg,16/14/0.npy,c12267f6e2de19783531f38dbc7b7d70b4f061d7880bdca68f75f10b044dff45,a8c4b13fb092f6b86b28a178a0ac03be9346a0bd2a97626a22f614a4d7d3a3a0,True,0.9780833391498569,DUP-d7f113f98872,2,16/13,False,EXACT_DUPLICATE_NONCANONICAL,EXCLUDE,AUTO_HARD_EXCLUSION_PENDING_HUMAN_CONFIRMATION,,
1,dataset_qc_v1,17/14,17,14,17/14/0.jpg,17/14/0.npy,bc6207d69ca60fb3ad4d5d9a48e0d419900c0ebdb550a262abad86ed3ca0ad83,1c946a435d5e769c4ad6c8921409b8122affecdbc8105e92da27b8c1a9c5665c,True,0.967885816235504,DUP-366dc0afdfa7,2,17/13,False,EXACT_DUPLICATE_NONCANONICAL,EXCLUDE,AUTO_HARD_EXCLUSION_PENDING_HUMAN_CONFIRMATION,,
