schema_version,qc_version,sample_id,char_id,sample_index,image_relative_path,stacked_mask_relative_path,image_pixel_sha256,mask_content_sha256,binary_masks,image_gt_ink_iou,duplicate_group_id,duplicate_group_size,canonical_sample_id,is_duplicate_canonical,hard_exclusion_reasons,decision,review_status,reviewer,review_date
1,dataset_qc_v1,0/0,0,0,0/0/0.jpg,0/0/0.npy,95171c3649e76fa2cbfada4b8f58deeda9ccdff27c4d1f0308e6e65773c35f69,5484d96a1880942390335715c007ece59f39be3bb1cd6f6a6a7f9ee04a45b4d5,True,0.9767188859878155,,1,,True,,KEEP,AUTO_KEEP,,
1,dataset_qc_v1,0/1,0,1,0/1/0.jpg,0/1/0.npy,beb09e7f2127e71306abc71ea1c9c3241478851eb02f37b6511dc59cf1fe1bce,d05c936186d853a1a83e9359de7adef510000e6fc03620381acc4e54bef447cd,True,0.9832907151044882,,1,,True,,KEEP,AUTO_KEEP,,
1,dataset_qc_v1,0/10,0,10,0/10/0.jpg,0/10/0.npy,28e4f8eec651d0bcee00f72b57fcced04886ea7c4c4c67e3e766f99864795644,165e3eee09039a00df64cd6fc801364b3bc5e80cdf41335a8c7886e5b01ae3c1,True,0.9692091855571143,,1,,True,,KEEP,AUTO_KEEP,,
1,dataset_qc_v1,0/11,0,11,0/11/0.jpg,0/11/0.npy,ed7d42a4b5cd8f155031a153d1c4081cf3d137c73127efe067c0b307a3530932,8fd459ab8a26c36cab2d7295b88c8f9d4f81c1f67a6f9539a2a18462e81099a0,True,0.962691131498471,,1,,True,,KEEP,AUTO_KEEP,,
1,dataset_qc_v1,0/12,0,12,0/12/0.jpg,0/12/0.npy,ce3f5fe9fa3ca5d872993c8f50b7bd2b3779939559b1adfc5468822be154e4ea,a2dfdb6a1189f4fb2507bdb6e01a743518a724c5bc620885440969d44868422d,True,0.966828836797877,,1,,True,,KEEP,AUTO_KEEP,,
1,dataset_qc_v1,0/13,0,13,0/13/0.jpg,0/13/0.npy,32b5892a4714602fa9faaf639cdf3fbc4f43feafb1c487b7bc7911f6cba66661,4a190525bd5fa9ebfe06afac5162bf619795e907a7df72fd9b30052a8d79edc2,True,0.9786560891533267,DUP-4b764e1a690c,2,0/13,True,,KEEP,AUTO_KEEP,,
1,dataset_qc_v1,0/14,0,14,0/14/0.jpg,0/14/0.npy,32b5892a4714602fa9faaf639cdf3fbc4f43feafb1c487b7bc7911f6cba66661,4a190525bd5fa9ebfe06afac5162bf619795e907a7df72fd9b30052a8d79edc2,True,0.9786560891533267,DUP-4b764e1a690c,2,0/13,False,EXACT_DUPLICATE_NONCANONICAL,EXCLUDE,AUTO_HARD_EXCLUSION_PENDING_HUMAN_CONFIRMATION,,
1,dataset_qc_v1,0/15,0,15,0/15/0.jpg,0/15/0.npy,f8b638e9ad3637ee4a9182746236332c31feede6febfc4cd8122a038f0b45d01,91542147e78e3aa1bba1a27ee7865ab5893963521ae915d78ac81e364ee961b4,True,0.954751701537686,,1,,True,,KEEP,AUTO_KEEP,,
1,dataset_qc_v1,0/16,0,16,0/16/0.jpg,0/16/0.npy,ecd6a8356c41344d29076817c49204bca478d8f0c1fcfcc913380a409a88c7cd,56b4f4bdb41e47317310c11fe3852f2853bbad71f40b9ba5af715b5f2061cf3f,True,0.9805656272661348,,1,,True,,KEEP,AUTO_KEEP,,
1,dataset_qc_v1,0/17,0,17,0/17/0.jpg,0/17/0.npy,3fbea17a846b9ad063aa53fd563c7407d821283109148008edca4e713d3bbd25,d81f8e5d9dafb818a49dc98cc1afdd96eecfb2ad6c379166e1b0a17175012191,True,0.9777642276422764,,1,,True,,KEEP,AUTO_KEEP,,
