"schema_version","data_version","sample_id","char_id","char_name","sample_index","source_id","writer_id","sample_dir","image_path","image_width","image_height","stacked_mask_path","stacked_mask_shape","vec1_path","vec2_path","vec3_path","vec4_path","vec5_path","keypoint_path","vec1_shape","vec2_shape","vec3_shape","vec4_shape","vec5_shape","keypoint_shape","has_all_masks","split_group_key","errors"
"1","legacy_gt_identity_v1","0/0","0","","0","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","0/0",""
"1","legacy_gt_identity_v1","0/1","0","","1","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","1",""
"1","legacy_gt_identity_v1","0/10","0","","10","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","10",""
"1","legacy_gt_identity_v1","0/11","0","","11","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","11",""
"1","legacy_gt_identity_v1","0/12","0","","12","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","12",""
"1","legacy_gt_identity_v1","0/13","0","","13","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","13",""
"1","legacy_gt_identity_v1","0/14","0","","14","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","14",""
"1","legacy_gt_identity_v1","0/15","0","","15","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","15",""
"1","legacy_gt_identity_v1","0/16","0","","16","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","16",""
"1","legacy_gt_identity_v1","0/17","0","","17","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","17",""
"1","legacy_gt_identity_v1","0/18","0","","18","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","18",""
"1","legacy_gt_identity_v1","0/19","0","","19","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","19",""
"1","legacy_gt_identity_v1","0/2","0","","2","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","2",""
"1","legacy_gt_identity_v1","0/20","0","","20","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","20",""
"1","legacy_gt_identity_v1","0/3","0","","3","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","3",""
"1","legacy_gt_identity_v1","0/4","0","","4","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","4",""
"1","legacy_gt_identity_v1","0/5","0","","5","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","5",""
"1","legacy_gt_identity_v1","0/6","0","","6","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","6",""
"1","legacy_gt_identity_v1","0/7","0","","7","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","7",""
"1","legacy_gt_identity_v1","0/8","0","","8","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","8",""
"1","legacy_gt_identity_v1","0/9","0","","9","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","9",""
"1","legacy_gt_identity_v1","1/0","1","","0","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","1/0",""
"1","legacy_gt_identity_v1","1/1","1","","1","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","1",""
"1","legacy_gt_identity_v1","1/10","1","","10","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","10",""
"1","legacy_gt_identity_v1","1/11","1","","11","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","11",""
"1","legacy_gt_identity_v1","1/12","1","","12","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","12",""
"1","legacy_gt_identity_v1","1/13","1","","13","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","13",""
"1","legacy_gt_identity_v1","1/14","1","","14","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","14",""
"1","legacy_gt_identity_v1","1/15","1","","15","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","15",""
"1","legacy_gt_identity_v1","1/16","1","","16","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","16",""
"1","legacy_gt_identity_v1","1/17","1","","17","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","17",""
"1","legacy_gt_identity_v1","1/18","1","","18","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","18",""
"1","legacy_gt_identity_v1","1/19","1","","19","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","19",""
"1","legacy_gt_identity_v1","1/2","1","","2","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","2",""
"1","legacy_gt_identity_v1","1/20","1","","20","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","20",""
"1","legacy_gt_identity_v1","1/3","1","","3","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","3",""
"1","legacy_gt_identity_v1","1/4","1","","4","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","4",""
"1","legacy_gt_identity_v1","1/5","1","","5","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","5",""
"1","legacy_gt_identity_v1","1/6","1","","6","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","6",""
"1","legacy_gt_identity_v1","1/7","1","","7","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","7",""
"1","legacy_gt_identity_v1","1/8","1","","8","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","8",""
"1","legacy_gt_identity_v1","1/9","1","","9","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","9",""
"1","legacy_gt_identity_v1","10/0","10","","0","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","10/0",""
"1","legacy_gt_identity_v1","10/1","10","","1","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","1",""
"1","legacy_gt_identity_v1","10/10","10","","10","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","10",""
"1","legacy_gt_identity_v1","10/11","10","","11","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","11",""
"1","legacy_gt_identity_v1","10/12","10","","12","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","12",""
"1","legacy_gt_identity_v1","10/13","10","","13","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","13",""
"1","legacy_gt_identity_v1","10/14","10","","14","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","14",""
"1","legacy_gt_identity_v1","10/15","10","","15","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","15",""
"1","legacy_gt_identity_v1","10/16","10","","16","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","16",""
"1","legacy_gt_identity_v1","10/17","10","","17","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","17",""
"1","legacy_gt_identity_v1","10/18","10","","18","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","18",""
"1","legacy_gt_identity_v1","10/19","10","","19","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","19",""
"1","legacy_gt_identity_v1","10/2","10","","2","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","2",""
"1","legacy_gt_identity_v1","10/20","10","","20","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","20",""
"1","legacy_gt_identity_v1","10/3","10","","3","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","3",""
"1","legacy_gt_identity_v1","10/4","10","","4","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","4",""
"1","legacy_gt_identity_v1","10/5","10","","5","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","5",""
"1","legacy_gt_identity_v1","10/6","10","","6","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","6",""
"1","legacy_gt_identity_v1","10/7","10","","7","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","7",""
"1","legacy_gt_identity_v1","10/8","10","","8","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","8",""
"1","legacy_gt_identity_v1","10/9","10","","9","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","9",""
"1","legacy_gt_identity_v1","11/0","11","","0","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","11/0",""
"1","legacy_gt_identity_v1","11/1","11","","1","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","1",""
"1","legacy_gt_identity_v1","11/10","11","","10","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","10",""
"1","legacy_gt_identity_v1","11/11","11","","11","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","11",""
"1","legacy_gt_identity_v1","11/12","11","","12","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","12",""
"1","legacy_gt_identity_v1","11/13","11","","13","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","13",""
"1","legacy_gt_identity_v1","11/14","11","","14","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","14",""
"1","legacy_gt_identity_v1","11/15","11","","15","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","15",""
"1","legacy_gt_identity_v1","11/16","11","","16","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","16",""
"1","legacy_gt_identity_v1","11/17","11","","17","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","17",""
"1","legacy_gt_identity_v1","11/18","11","","18","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","18",""
"1","legacy_gt_identity_v1","11/19","11","","19","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","19",""
"1","legacy_gt_identity_v1","11/2","11","","2","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","2",""
"1","legacy_gt_identity_v1","11/20","11","","20","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","20",""
"1","legacy_gt_identity_v1","11/3","11","","3","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","3",""
"1","legacy_gt_identity_v1","11/4","11","","4","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","4",""
"1","legacy_gt_identity_v1","11/5","11","","5","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","5",""
"1","legacy_gt_identity_v1","11/6","11","","6","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","6",""
"1","legacy_gt_identity_v1","11/7","11","","7","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","7",""
"1","legacy_gt_identity_v1","11/8","11","","8","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","8",""
"1","legacy_gt_identity_v1","11/9","11","","9","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","9",""
"1","legacy_gt_identity_v1","12/0","12","","0","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","12/0",""
"1","legacy_gt_identity_v1","12/1","12","","1","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","1",""
"1","legacy_gt_identity_v1","12/10","12","","10","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","10",""
"1","legacy_gt_identity_v1","12/11","12","","11","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","11",""
"1","legacy_gt_identity_v1","12/12","12","","12","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","12",""
"1","legacy_gt_identity_v1","12/13","12","","13","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","13",""
"1","legacy_gt_identity_v1","12/14","12","","14","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","14",""
"1","legacy_gt_identity_v1","12/15","12","","15","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","15",""
"1","legacy_gt_identity_v1","12/16","12","","16","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","16",""
"1","legacy_gt_identity_v1","12/17","12","","17","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","17",""
"1","legacy_gt_identity_v1","12/18","12","","18","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","18",""
"1","legacy_gt_identity_v1","12/19","12","","19","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","19",""
"1","legacy_gt_identity_v1","12/2","12","","2","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","2",""
"1","legacy_gt_identity_v1","12/20","12","","20","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","20",""
"1","legacy_gt_identity_v1","12/3","12","","3","","","","","500","500","","500x500x6","","","","","","","500x500","500x500","500x500","500x500","500x500","500x500","true","3",""
